Aloyzas;Lokys;Kunigas;49;72;38;35;7;7;1;Gerai gamina maistą
Aloyzas;Žmogus;Dainininkas;42;69;82;73;4;5;8;Labai laimingas
Antanas;Varliažmogis;Kunigas;18;27;25;51;1;9;9;Labai gražios akys
Antanas;Varliažmogis;Kunigas;66;87;99;25;4;2;4;Ugnies valdymas
Petras;Driežažmogis;Burtininkas;21;55;20;17;5;1;1;Labai laimingas
Vardėnis;Driežažmogis;Magas;59;33;40;55;0;0;8;Labai gražios akys
Motiejus;Elfas;Lankininkas;35;44;45;40;3;7;5;Labai laimingas
Motiejus;Tamsusis elfas;Kunigas;86;70;26;69;8;9;7;Labai gražios akys
Motiejus;Elfas;Karys;57;71;95;51;4;7;2;Labai laimingas
Antanas;Driežažmogis;Riteris;33;6;91;80;3;4;7;Ugnies valdymas
Vardėnis;Lokys;Gydytojas;18;42;43;12;1;3;5;Ugnies valdymas
Motiejus;Tamsusis elfas;Lankininkas;75;63;64;22;1;2;7;Labai laimingas
Juozas;Šuo;Karys;12;56;86;38;6;7;4;Gerai gamina maistą
Vardėnis;Varliažmogis;Burtininkas;37;47;14;75;1;6;6;Gerai gamina maistą
Motiejus;Žmogus;Riteris;28;23;61;81;3;1;9;Labai gražios akys
Antanas;Elfas;Riteris;56;4;16;91;9;7;5;Labai laimingas
Juozas;Žmogus;Karys;71;17;74;69;5;7;5;Ugnies valdymas
Motiejus;Varliažmogis;Magas;39;74;21;31;7;5;0;Labai gražios akys
Petras;Žmogus;Riteris;97;64;92;83;8;6;9;Labai laimingas
Vardėnis;Elfas;Karys;61;77;81;26;1;1;9;Gerai gamina maistą
Petras;Driežažmogis;Gydytojas;92;35;99;37;3;4;0;Labai gražios akys
Juozas;Driežažmogis;Riteris;32;60;48;83;7;6;6;Labai laimingas
Aloyzas;Driežažmogis;Lankininkas;65;21;98;68;6;6;9;Labai gražios akys
Juozas;Driežažmogis;Gydytojas;91;51;63;23;4;5;4;Ugnies valdymas
Juozas;Zombis;Gydytojas;97;95;82;23;9;9;5;Labai gražios akys
Juozas;Elfas;Vyskupas;75;72;78;62;8;6;3;Ugnies valdymas
Aloyzas;Elfas;Burtininkas;51;1;61;26;1;1;8;Ugnies valdymas
Antanas;Lokys;Dainininkas;95;24;18;35;0;6;9;Ugnies valdymas
Motiejus;Šuo;Kunigas;22;11;85;18;2;8;8;Labai laimingas
Petras;Varliažmogis;Magas;60;56;56;65;7;3;3;Gerai gamina maistą
Motiejus;Žmogus;Karys;89;70;66;59;4;2;3;Labai laimingas
Vardėnis;Elfas;Kunigas;97;62;58;27;2;9;9;Labai laimingas
Aloyzas;Tamsusis elfas;Vyskupas;41;53;10;11;4;9;7;Ugnies valdymas
Antanas;Zombis;Lankininkas;46;23;80;37;0;8;1;Labai gražios akys
Motiejus;Varliažmogis;Lankininkas;95;32;95;63;5;7;8;Labai gražios akys
Vardėnis;Elfas;Gydytojas;40;82;58;62;0;3;1;Ugnies valdymas
Aloyzas;Šuo;Riteris;62;43;97;96;4;5;2;Labai gražios akys
Vardėnis;Zombis;Gydytojas;20;86;5;95;4;3;4;Labai gražios akys
Vardėnis;Driežažmogis;Dainininkas;74;3;81;88;2;2;1;Ugnies valdymas
Motiejus;Lokys;Kunigas;35;99;36;17;2;5;2;Gerai gamina maistą
Vardėnis;Lokys;Magas;29;57;77;88;2;9;9;Gerai gamina maistą
Juozas;Žmogus;Lankininkas;76;8;24;49;9;2;7;Labai laimingas
Petras;Elfas;Dainininkas;87;87;7;33;0;3;7;Gerai gamina maistą
Antanas;Zombis;Magas;75;21;93;74;5;2;3;Gerai gamina maistą
Motiejus;Lokys;Magas;10;3;53;31;0;1;0;Gerai gamina maistą
Petras;Tamsusis elfas;Burtininkas;51;51;40;66;6;0;1;Labai gražios akys
Vardėnis;Šuo;Lankininkas;16;49;98;87;2;5;6;Labai gražios akys
Vardėnis;Žmogus;Burtininkas;74;41;68;66;6;6;6;Ugnies valdymas
Vardėnis;Varliažmogis;Lankininkas;52;77;46;9;0;9;3;Labai gražios akys
Vardėnis;Šuo;Gydytojas;37;5;61;77;7;0;8;Ugnies valdymas
Motiejus;Žmogus;Magas;16;78;17;51;5;2;9;Labai gražios akys
Motiejus;Varliažmogis;Gydytojas;65;17;82;86;4;1;0;Labai gražios akys
Motiejus;Elfas;Lankininkas;60;26;55;59;4;6;1;Labai laimingas
Juozas;Driežažmogis;Burtininkas;85;93;76;40;1;5;5;Gerai gamina maistą
Juozas;Tamsusis elfas;Lankininkas;21;27;89;96;1;7;3;Gerai gamina maistą
Petras;Elfas;Gydytojas;65;86;57;70;2;2;1;Labai gražios akys
Antanas;Žmogus;Karys;51;68;52;89;0;6;2;Gerai gamina maistą
Juozas;Varliažmogis;Riteris;42;81;84;15;7;9;6;Labai gražios akys
Petras;Lokys;Lankininkas;66;87;79;96;6;8;4;Labai laimingas
Motiejus;Zombis;Karys;32;90;63;64;6;2;5;Labai laimingas
Vardėnis;Tamsusis elfas;Kunigas;42;51;65;43;2;0;3;Gerai gamina maistą
Juozas;Zombis;Burtininkas;91;46;14;97;8;5;9;Gerai gamina maistą
Vardėnis;Lokys;Riteris;17;11;45;56;0;4;7;Gerai gamina maistą
Aloyzas;Šuo;Riteris;35;41;13;40;5;3;8;Labai laimingas
Motiejus;Žmogus;Riteris;88;84;70;62;8;1;5;Labai gražios akys
Aloyzas;Tamsusis elfas;Karys;28;53;37;97;4;5;8;Labai laimingas
Juozas;Zombis;Gydytojas;25;34;84;88;0;3;3;Labai gražios akys
Motiejus;Lokys;Dainininkas;13;65;46;60;6;1;6;Labai gražios akys
Aloyzas;Zombis;Burtininkas;59;84;59;81;1;8;7;Gerai gamina maistą
Motiejus;Tamsusis elfas;Riteris;48;87;22;26;8;4;5;Ugnies valdymas
Antanas;Zombis;Burtininkas;51;83;10;6;6;3;7;Ugnies valdymas
Motiejus;Tamsusis elfas;Karys;49;96;6;62;4;9;1;Labai laimingas
Antanas;Varliažmogis;Magas;21;38;46;57;2;6;1;Ugnies valdymas
Antanas;Elfas;Vyskupas;52;6;49;74;1;8;9;Gerai gamina maistą
Antanas;Zombis;Gydytojas;25;19;31;12;0;0;1;Labai gražios akys
Antanas;Driežažmogis;Burtininkas;38;27;47;78;5;1;3;Labai gražios akys
Aloyzas;Šuo;Magas;46;87;60;71;9;3;6;Labai gražios akys
Petras;Tamsusis elfas;Vyskupas;47;37;33;7;1;2;4;Labai gražios akys
Aloyzas;Tamsusis elfas;Magas;38;51;58;10;8;2;1;Labai laimingas
Vardėnis;Tamsusis elfas;Vyskupas;22;0;39;83;8;0;8;Ugnies valdymas
Juozas;Lokys;Karys;66;96;18;25;8;2;2;Labai laimingas
Juozas;Zombis;Lankininkas;27;38;31;48;0;4;6;Labai gražios akys
Motiejus;Žmogus;Gydytojas;78;1;22;91;3;0;8;Ugnies valdymas
Petras;Tamsusis elfas;Gydytojas;45;56;68;48;6;8;2;Gerai gamina maistą
Antanas;Driežažmogis;Kunigas;47;26;68;14;4;5;9;Gerai gamina maistą
Juozas;Tamsusis elfas;Magas;21;5;46;37;3;7;9;Labai gražios akys
Vardėnis;Zombis;Kunigas;25;26;43;46;0;8;0;Gerai gamina maistą
Motiejus;Žmogus;Riteris;21;75;48;12;0;8;8;Labai laimingas
Antanas;Zombis;Vyskupas;97;5;30;17;8;0;0;Ugnies valdymas
Antanas;Zombis;Lankininkas;63;87;44;62;5;5;7;Ugnies valdymas
Juozas;Zombis;Karys;49;72;73;58;8;6;0;Labai laimingas
Aloyzas;Zombis;Riteris;61;63;79;74;0;8;0;Labai laimingas
Aloyzas;Šuo;Lankininkas;14;32;37;37;8;2;9;Labai gražios akys
Petras;Lokys;Burtininkas;31;23;67;38;3;7;4;Gerai gamina maistą
Petras;Žmogus;Lankininkas;59;13;69;87;2;0;6;Labai laimingas
Juozas;Zombis;Vyskupas;33;31;6;12;3;4;7;Labai gražios akys
Petras;Šuo;Riteris;64;35;70;13;9;5;2;Labai laimingas
Vardėnis;Lokys;Gydytojas;46;61;64;42;1;2;1;Labai gražios akys
Motiejus;Lokys;Gydytojas;53;66;70;27;9;8;3;Labai laimingas
Vardėnis;Žmogus;Burtininkas;36;80;69;41;3;4;1;Labai gražios akys
